"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "CSS", "YAML", "Markdown", "SCSS", "comment", "blank", "total"
"d:\work\programming228\web\game-tensor\src\store\postTag\postTagThunk.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\work\programming228\web\game-tensor\src\store\registration\registrationSelector.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\work\programming228\web\game-tensor\src\store\registration\registrationSlice.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"d:\work\programming228\web\game-tensor\src\store\registration\registrationThunk.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\work\programming228\web\game-tensor\src\store\search\searchSelector.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\work\programming228\web\game-tensor\src\store\search\searchSlice.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 1, 6, 78
"d:\work\programming228\web\game-tensor\src\store\search\searchThunk.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"d:\work\programming228\web\game-tensor\src\store\store.ts", "TypeScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 1, 3, 80
"d:\work\programming228\web\game-tensor\src\store\subscribe\subscribeSlice.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"d:\work\programming228\web\game-tensor\src\store\subscribe\subscribeThunk.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\work\programming228\web\game-tensor\src\store\tags\tagsSelector.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\work\programming228\web\game-tensor\src\store\tags\tagsSlice.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 6, 49
"d:\work\programming228\web\game-tensor\src\store\tags\tagsThunk.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\work\programming228\web\game-tensor\src\styles\AdminApprove.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 4, 119
"d:\work\programming228\web\game-tensor\src\styles\AdminBlock.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 1, 109
"d:\work\programming228\web\game-tensor\src\styles\Advertisements.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 4, 92
"d:\work\programming228\web\game-tensor\src\styles\Alerts.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 7, 42
"d:\work\programming228\web\game-tensor\src\styles\Bookmarks.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
